TITLE     = "ANALYZED MODEL"
VARIABLES = "X", "Y", "Z", "C"
ZONE T="STEP 0 Incr 0"
F = POINT
10.992931 1.135362 -2.187860 1.000000
11.038368 1.388685 -2.320172 1.000000
10.393653 1.378364 -2.101120 1.000000
16.607620 -0.697175 -2.666628 0.000000
16.627129 -0.731899 -2.636229 0.000000
15.958077 -0.655893 -2.514518 0.000000
12.420982 0.562265 -2.370220 1.000000
12.426874 0.378890 -2.255280 1.000000
12.426359 0.432470 -2.286182 1.000000
13.798274 -0.013830 -2.403423 1.000000
13.830308 0.371931 -2.692078 1.000000
12.459973 1.486997 -2.817939 1.000000
13.880336 1.434554 -3.235488 1.000000
15.283113 1.375467 -3.606991 0.000000
15.286481 1.442377 -3.640563 0.000000
14.920188 1.498838 -3.550194 0.000000
16.655300 0.613521 -3.624138 0.000000
16.679710 1.482378 -4.026411 0.000000
15.208321 -0.474958 -2.445205 0.000000
15.250893 0.434286 -3.141416 0.000000
16.647100 0.508037 -3.569370 0.000000
7.907170 -0.777021 0.106442 1.000000
7.983447 -0.689720 -0.021454 1.000000
6.638186 -0.593678 0.306527 1.000000
9.309889 -1.030325 0.023865 1.000000
9.371724 -0.581159 -0.532764 1.000000
10.759033 -1.330971 0.043533 1.000000
10.814989 -0.543098 -1.002011 1.000000
8.035833 0.409737 -0.910620 1.000000
8.054452 0.325488 -0.871378 1.000000
7.705761 0.370014 -0.791245 1.000000
6.710175 0.884621 -0.712465 1.000000
6.738873 1.213352 -0.858654 1.000000
6.150062 1.166512 -0.632359 1.000000
8.134195 1.344737 -1.344466 1.000000
6.333302 -0.515003 0.013983 1.000000
6.578085 -0.693596 0.422728 1.000000
6.467842 -0.416891 -0.234528 1.000000
6.625568 0.451403 -0.502355 1.000000
6.600018 -0.004876 -0.748646 1.000000
6.541285 1.088775 -1.102199 1.000000
6.353148 0.501171 -0.621733 1.000000
6.178033 0.218055 -0.356276 1.000000
9.438160 -0.117642 -0.954738 1.000000
9.525889 0.327684 -1.324393 1.000000
10.838928 -0.547904 -1.003025 1.000000
10.900235 0.539207 -1.855151 1.000000
9.630620 1.277779 -1.805064 1.000000
6.583159 -1.087348 0.183278 1.000000
6.582820 -1.257742 0.440554 1.000000
6.484209 -1.213088 1.306422 1.000000
6.601158 -0.538219 0.259094 1.000000
6.762306 -1.913621 0.819678 1.000000
7.845385 -1.402305 1.209072 1.000000
7.798227 -1.675424 2.152726 1.000000
7.819608 -1.552394 1.700952 1.000000
6.558516 -1.510954 2.243842 1.000000
6.449920 -1.897389 2.135433 1.000000
6.439342 -1.516517 2.348207 1.000000
6.638453 -2.074451 1.893041 1.000000
10.702849 -1.756714 0.995247 1.000000
10.731384 -1.646831 0.714200 1.000000
9.394987 -1.586207 1.072645 1.000000
9.265781 -1.606651 1.178047 1.000000
9.210831 -1.852091 2.173772 1.000000
9.250864 -1.556055 1.049284 1.000000
10.659345 -2.007378 2.121233 1.000000
6.563272 -0.660322 -0.208805 1.000000
12.291727 -0.740487 -1.248333 1.000000
12.353293 -0.695725 -1.316789 1.000000
11.415698 -0.591576 -1.127498 1.000000
13.694316 -1.040287 -1.331583 1.000000
13.746404 -0.597620 -1.854433 1.000000
13.640744 -1.713531 -0.230267 1.000000
13.652376 -1.730535 -0.194564 1.000000
13.286463 -1.685590 -0.155162 1.000000
12.233791 -1.576912 -0.000788 1.000000
15.142133 -1.378409 -1.339262 0.000000
15.198474 -0.573327 -2.347106 0.000000
16.573345 -1.664469 -1.372642 0.000000
15.065270 -1.949936 -0.266942 0.000000
15.106820 -1.722696 -0.727861 0.000000
16.498437 -2.168553 -0.300849 0.000000
16.548302 -1.713528 -1.262206 0.000000
12.127373 -1.950499 0.972350 1.000000
12.167791 -1.640899 0.170065 1.000000
13.587121 -2.143882 0.962106 1.000000
12.082241 -2.146418 2.005792 1.000000
