TITLE     = "New Centroid"
VARIABLES = "X", "Y", "Z"
ZONE T="Step 0 Incr 0"
F = POINT
 141.745 -0.030 -0.965
 5.573 1.057 6.359
 133.834 0.456 -1.899
 107.228 -5.652 -6.398
 102.237 3.513 5.260
 127.260 1.399 -2.703
 100.094 -6.666 -5.465
 37.868 2.020 13.520
 79.639 -8.372 4.072
 101.994 -6.756 2.942
 91.499 -7.321 -5.687
 134.260 -0.993 1.133
 116.229 0.191 7.179
 108.344 0.707 -8.608
 107.197 2.194 -6.131
 142.136 -1.300 -1.255
 141.239 -2.471 -0.934
 77.617 -8.757 0.859
 74.868 -8.158 3.994
 77.709 -8.879 3.116
 76.453 -8.853 3.883
 37.982 6.363 -6.781
 36.863 4.288 -8.665
 42.810 9.539 2.219
 45.136 10.134 4.025
 45.039 9.238 3.429
 91.854 -6.591 -3.218
 88.739 -7.405 -0.786
 88.583 -8.072 -1.907
 42.773 -6.415 5.980
 41.673 -6.636 6.332
 43.608 -7.277 5.742
 130.097 0.454 -2.768
 132.344 -0.122 -1.669
 131.401 -0.556 -2.711
 133.369 0.807 -3.390
 118.881 1.941 0.187
 118.981 1.771 -1.545
 119.068 2.985 1.039
 99.153 -7.563 -2.800
 99.072 -7.329 -5.316
 98.758 -6.393 -3.574
 79.474 -4.964 12.035
 79.221 -5.858 11.215
 66.327 -8.337 -1.170
 65.031 -7.641 -1.640
 63.507 -8.306 -1.011
 61.722 -2.091 -11.930
 62.122 -0.824 -11.418
 61.373 0.283 -11.943
 135.124 -1.182 2.141
 127.445 -4.415 -3.793
 140.322 -2.593 -0.159
 138.540 -0.752 2.691
 99.917 -3.143 10.498
 8.489 3.707 -2.525
 7.000 4.757 -0.903
 42.811 -1.147 -10.069
 103.542 -0.815 -10.048
 115.875 -1.594 7.265
 119.055 -6.371 -4.164
 130.717 -4.051 -2.940
 139.818 -0.158 -1.942
 8.733 -1.086 5.244
 31.915 1.113 -8.377
 19.952 3.064 -6.318
 82.109 -0.626 12.003
 39.669 0.901 14.836
 54.841 9.064 3.382
 113.248 -0.980 8.705
 8.133 0.247 -2.366
 137.244 -3.057 -1.710
 25.035 4.299 -7.315
 69.364 -8.348 4.504
 26.291 4.979 -7.236
 23.628 4.768 -6.986
 123.385 -1.253 4.807
 88.055 -8.119 0.190
 87.569 -8.784 -1.698
 92.990 4.066 2.788
 71.168 -8.229 6.337
 23.410 5.966 -6.321
 24.875 6.759 -5.848
 26.856 5.591 -5.740
 69.804 -8.295 5.789
 66.723 3.683 11.886
 83.291 -8.308 3.067
 101.472 3.687 -4.052
 132.962 0.214 -4.306
 73.306 -8.228 -3.409
 73.376 -8.775 -1.550
 63.020 -1.202 14.595
 90.894 4.890 7.413
 117.383 -6.406 -2.947
 142.087 -0.793 -2.302
 77.290 -8.437 1.865
 69.470 -8.413 1.080
 67.108 -8.353 1.054
 5.671 2.857 4.560
 38.413 -6.499 4.688
 41.597 -6.545 -1.917
 112.684 3.429 0.184
 86.702 -8.319 2.725
 37.442 -6.494 3.626
 54.002 7.904 5.051
 134.531 -1.990 2.870
 128.148 -4.335 0.444
 138.236 1.307 2.095
 75.551 -6.438 7.130
 77.532 -6.348 7.074
 76.562 -6.386 6.197
 76.522 -6.400 8.006
 74.482 -5.349 6.997
 78.309 -5.292 6.953
 76.112 -7.373 4.616
 74.785 -7.539 7.275
 74.894 -8.263 6.296
 73.715 -6.450 7.141
 74.954 -7.910 8.503
 78.520 -7.402 7.170
 78.471 -8.148 6.193
 78.589 -7.782 8.383
 79.296 -6.346 7.050
 77.117 -8.275 5.591
 76.332 -3.439 5.063
 76.442 -5.298 5.114
 75.432 -4.399 5.097
 77.343 -4.337 5.080
 76.332 -2.489 4.112
 76.478 -6.186 4.172
 74.482 -4.399 6.047
 76.196 -7.577 5.692
 72.523 -7.320 8.890
 70.060 -7.774 9.328
 73.692 -7.698 9.201
 72.715 -6.439 8.057
 68.461 -7.667 1.177
 72.859 -6.799 2.021
 72.218 -6.477 4.616
 73.858 -6.810 3.006
 71.957 -7.265 2.907
 72.617 -5.592 1.200
 72.559 -5.285 5.218
 74.659 -8.738 1.567
 70.070 -7.648 3.481
 72.840 -8.861 0.788
 72.865 -7.663 1.067
 71.945 -8.132 1.103
 73.761 -8.392 0.752
 72.624 -6.456 0.246
 72.957 -7.275 3.891
 73.483 -8.371 5.561
 71.218 -6.467 3.632
 73.541 -8.463 4.335
 72.401 -7.588 5.712
 72.743 -6.386 6.313
 74.432 -3.439 3.163
 74.567 -5.603 3.135
 74.517 -4.642 2.150
 74.482 -4.399 4.147
 75.382 -2.489 3.163
 75.553 -6.491 3.142
 73.567 -4.642 1.200
 76.010 -7.957 1.651
 70.020 -7.762 -0.006
 71.107 -7.455 -0.005
 70.247 -8.459 -0.847
 69.592 -8.381 -2.148
 71.466 -6.259 -0.454
 83.620 -8.697 -1.902
 85.012 -8.768 0.153
 83.687 -8.779 -0.525
 85.069 -8.055 0.885
 77.995 -7.028 -7.931
 79.039 -6.137 -8.157
 74.326 -7.001 -8.086
 73.469 -6.107 -8.311
 77.150 -6.229 -8.003
 75.303 -6.217 -8.050
 76.238 -6.217 -7.055
 76.215 -6.227 -8.997
 78.194 -5.341 -8.231
 74.446 -5.329 -8.278
 75.953 -7.373 -5.859
 78.364 -7.642 -6.562
 79.883 -7.229 -6.316
 77.234 -7.993 -5.436
 69.977 -7.889 -5.926
 72.385 -7.150 -6.648
 70.965 -7.538 -7.005
 73.716 -7.560 -6.894
 79.892 -6.144 -9.075
 79.962 -5.406 -10.036
 81.135 -7.630 -6.524
 81.656 -7.009 -7.860
 82.029 -7.946 -5.538
 72.575 -6.079 -9.357
 72.708 -5.290 -10.286
 70.666 -6.947 -8.247
 71.611 -6.078 -8.361
 74.342 -2.930 -11.881
 74.622 -4.222 -11.199
 77.282 -4.388 -2.537
 75.382 -4.388 -2.537
 76.332 -5.338 -2.537
 76.332 -3.439 -2.537
 78.232 -4.388 -1.587
 74.432 -4.388 -1.587
 76.048 -6.482 -3.238
 77.282 -4.388 -6.338
 75.382 -4.388 -6.338
 76.332 -3.439 -6.338
 76.332 -5.338 -6.338
 78.232 -4.389 -7.287
 74.432 -4.388 -7.287
 76.332 -2.489 -5.388
 78.232 -4.388 -3.487
 78.232 -4.388 -5.388
 78.232 -3.439 -4.438
 78.232 -5.338 -4.438
 79.182 -4.389 -2.537
 79.182 -4.388 -6.338
 77.282 -2.489 -4.438
 74.432 -4.388 -3.487
 74.432 -4.388 -5.388
 74.432 -5.338 -4.438
 74.432 -3.439 -4.438
 73.482 -4.388 -2.537
 73.482 -4.388 -6.338
 75.097 -6.482 -4.188
 76.332 -2.489 0.313
 76.332 -2.489 -1.587
 75.382 -2.489 -0.637
 77.282 -2.489 -0.637
 76.332 -1.539 1.263
 76.332 -1.539 -2.537
 74.432 -3.439 -0.637
 75.382 -2.489 -8.237
 77.282 -2.489 -8.237
 76.332 -2.489 -9.187
 76.332 -2.489 -7.288
 74.432 -3.439 -8.237
 78.232 -3.438 -8.237
 76.543 -1.522 -10.352
 80.938 -6.424 -4.488
 79.038 -6.424 -4.488
 79.988 -6.424 -5.438
 79.988 -6.424 -3.538
 81.728 -7.537 -4.379
 77.804 -7.570 -4.239
 80.132 -5.338 -6.338
 24.126 8.444 3.785
 23.835 7.794 4.978
 23.633 8.945 0.314
 22.497 8.830 -0.837
 22.806 8.500 -2.427
 23.228 8.232 1.524
 11.723 5.372 3.834
 11.821 5.113 1.998
 12.717 5.304 2.984
 10.827 5.180 2.848
 11.559 4.603 5.060
 11.677 4.112 1.211
 13.697 6.392 2.940
 11.681 6.113 0.909
 13.986 6.985 1.632
 9.399 6.153 0.104
 11.546 5.084 0.118
 12.863 6.910 0.590
 13.754 2.166 3.036
 13.660 4.362 3.111
 13.702 3.300 4.018
 13.713 3.228 2.129
 14.571 1.147 3.197
 14.641 5.447 3.066
 12.594 3.471 5.114
 17.063 4.792 6.503
 15.205 4.928 6.442
 15.557 5.419 3.969
 16.478 4.629 7.244
 17.652 4.009 6.783
 13.483 2.461 7.046
 15.838 6.184 4.720
 18.311 5.677 6.402
 18.476 6.510 5.202
 18.899 4.895 6.682
 15.638 2.159 4.921
 15.510 4.327 4.949
 16.512 3.192 4.917
 14.636 3.294 4.953
 15.521 1.147 4.147
 15.792 5.086 5.697
 17.381 3.176 5.950
 20.068 4.924 7.723
 14.938 6.578 -1.946
 15.085 2.909 8.458
 16.403 3.612 8.271
 17.501 3.322 8.043
 13.769 3.335 7.789
 18.712 3.164 8.988
 15.343 1.147 5.929
 15.022 1.617 8.198
 14.296 1.278 6.954
 16.066 1.490 7.181
 15.226 0.135 5.155
 15.002 0.591 8.915
 13.815 4.338 6.788
 13.698 -1.864 2.710
 12.677 -3.466 1.945
 12.792 -2.653 2.645
 13.716 -3.491 0.999
 15.233 -3.160 1.205
 17.637 -3.963 0.665
 15.102 -2.334 2.218
 16.393 -3.940 1.668
 15.544 -2.216 0.296
 15.338 -2.478 -1.774
 14.490 -2.180 -0.721
 16.393 -2.511 -0.754
 15.410 -1.407 1.309
 15.221 -1.412 -3.031
 13.448 -2.980 -0.454
 32.759 8.080 -0.638
 32.632 6.062 -0.637
 32.759 7.130 -1.588
 32.632 7.012 0.313
 33.912 8.882 -0.467
 33.582 5.112 -0.637
 31.854 7.407 -2.720
 28.877 8.090 -0.565
 28.832 6.062 -0.637
 28.776 6.970 0.321
 28.933 7.181 -1.523
 28.200 8.911 -0.210
 27.882 5.112 -0.637
 29.726 6.970 1.271
 32.046 8.914 -0.369
 30.064 8.925 -0.297
 30.913 8.751 0.590
 31.198 9.088 -1.257
 33.199 9.719 -0.199
 29.387 9.745 0.058
 30.676 7.920 1.271
 31.682 5.112 -0.637
 29.782 5.111 -0.637
 30.732 5.111 -1.587
 30.732 5.112 0.313
 32.632 4.162 -0.637
 28.832 4.162 -0.637
 30.777 6.332 -2.717
 35.659 7.326 -2.777
 33.780 7.384 -2.741
 34.837 8.398 -2.779
 34.602 6.311 -2.738
 36.687 7.542 -3.949
 32.875 7.664 -3.875
 34.969 8.944 -1.453
 25.920 7.519 -2.484
 27.972 7.488 -2.640
 26.971 8.652 -2.425
 26.921 6.359 -2.699
 24.892 7.785 -3.611
 28.967 7.769 -3.774
 27.256 9.144 -0.942
 30.798 9.567 1.591
 32.192 10.054 2.127
 27.287 9.599 1.986
 30.561 8.715 2.274
 32.327 7.344 6.587
 32.498 6.123 7.384
 32.480 8.151 7.373
 32.652 6.920 8.166
 33.567 4.964 7.098
 33.627 8.635 6.965
 32.061 6.773 9.041
 28.685 6.583 7.709
 28.718 7.384 6.656
 27.855 5.424 7.421
 29.641 7.267 5.522
 31.588 5.190 7.453
 29.586 5.511 7.570
 30.645 5.309 6.408
 30.848 6.176 9.419
 32.657 4.031 7.166
 28.755 4.352 7.283
 30.667 6.266 5.414
 35.700 6.907 8.725
 33.916 6.656 8.800
 34.658 5.859 8.900
 34.957 7.706 8.626
 36.830 6.991 9.711
 33.325 6.508 9.675
 34.463 4.968 7.983
 26.978 5.526 8.535
 30.710 2.254 5.106
 30.765 4.150 5.171
 31.715 3.200 5.171
 29.760 3.204 5.106
 30.732 1.311 4.112
 30.787 5.108 4.177
 32.665 3.200 6.121
 34.532 6.062 1.263
 34.532 7.962 1.263
 35.482 7.012 1.263
 33.582 7.012 1.263
 34.532 5.112 0.313
 34.734 8.765 0.483
 36.432 7.012 2.212
 34.525 6.033 5.103
 33.870 9.265 4.788
 33.399 7.127 5.344
 35.421 6.987 5.038
 34.525 5.083 6.053
 35.023 8.156 5.393
 32.510 7.151 4.418
 34.532 5.112 2.212
 34.586 5.108 4.177
 33.636 5.108 3.227
 35.482 5.112 3.163
 34.532 4.162 1.263
 34.587 4.158 5.127
 32.686 6.058 3.227
 34.446 8.873 2.282
 33.897 8.300 5.634
 35.396 8.873 3.232
 33.318 9.037 3.480
 34.648 9.695 1.499
 34.998 9.101 4.540
 36.432 7.961 3.163
 36.539 7.071 -1.623
 36.432 7.012 0.313
