TITLE = "New Centroid Vectors"
VARIABLES = "XV", "YV", "ZV" 
ZONE T="Step 0 Incr 0" 
F = VECTORS
4.465159607759666138e-01 -8.944643473617455154e-01 2.360144213903358004e-02
6.081987537189580406e-01 -5.443320412781338380e-01 -5.777515943835085377e-01
9.833969445740897708e-01 -1.811462384773495915e-01 1.079303886084443352e-02
4.670666472530395352e-01 7.807203535932778493e-01 4.151198339142470051e-01
4.087657426040721687e-01 -9.121717629691499241e-01 2.921031521730405034e-02
4.663486934237213166e-01 -8.802711010882073861e-01 8.741673026911435385e-02
4.747705724488932022e-01 7.846733102454024333e-01 3.985984191201376037e-01
4.726777476421296087e-01 -5.002654695065826829e-01 -7.254724025787070429e-01
4.753646992679532723e-01 8.780646367315014800e-01 -5.505357764455101610e-02
4.471715019739639363e-01 8.764389884265002539e-01 -1.785842865099898091e-01
4.510874842226980097e-01 8.013524235976988708e-01 3.928795932238418609e-01
3.305014858261916544e-01 8.528228678958751363e-01 -4.043042466516206801e-01
9.999998367789353360e-01 -1.359952563958694623e-04 -5.549300793561038562e-04
2.608571868520812576e-01 -6.769566187642315214e-01 6.882465142511928757e-01
3.558145725946798010e-01 -7.955933136952719753e-01 4.903338343747471462e-01
3.392848593915090416e-01 9.294103387026513285e-01 -1.451971297936250627e-01
3.387660181367241341e-01 9.276947937042334669e-01 -1.569074717464039037e-01
5.105707308992826210e-01 8.598280631164235688e-01 -3.637392806928121253e-03
4.980222801253166853e-01 8.670570302397396789e-01 -1.363505814522311156e-02
5.042065754418647572e-01 8.629445905710390052e-01 -3.320185063169063533e-02
4.826214027141675356e-01 8.747278413947676690e-01 -4.390654997901135420e-02
4.205952933267846916e-01 -7.847355851863205833e-01 4.552907429035195630e-01
3.290848281317877988e-01 -4.185908626646652198e-01 8.464542903117232564e-01
4.268863262130085379e-01 -8.298600649431525644e-01 3.593053535711754898e-01
4.356019313678413107e-01 -8.471421492498489858e-01 3.043043482320836879e-01
4.313699728315137372e-01 -8.367182387285712064e-01 3.373759557501049833e-01
4.974710603469200687e-01 8.674735618399933568e-01 -3.487639021796382251e-03
4.823570630817732852e-01 8.741456639011698782e-01 -5.657757486768994620e-02
4.866223656120053365e-01 8.714170852838145631e-01 -6.189456164831415308e-02
5.598684316526701954e-01 8.197434818203263029e-01 -1.206978179250466077e-01
5.499783681713128480e-01 8.091293278067918093e-01 -2.069626184279397541e-01
5.472105661639140584e-01 8.341458923184509322e-01 -6.900164205889451619e-02
9.997211534541886602e-01 -2.346930395539425021e-02 2.609043517435244083e-03
8.957878530290719343e-01 -4.439465462730864398e-01 2.180794391418567485e-02
9.999994895066337541e-01 -1.002403141952115445e-03 1.271786655299016774e-04
7.108900826759967373e-01 -6.875333808820023318e-01 1.480984150012352729e-01
4.234857581673305837e-01 -9.053871703028881779e-01 3.055952356255207253e-02
4.414569228657990174e-01 -8.967518320858566261e-01 3.085347475600615924e-02
4.304034751572792805e-01 -9.017789754426990267e-01 3.933863269171081201e-02
5.065734992844209694e-01 8.611628742158183858e-01 -4.221130056142817499e-02
4.814518333080541890e-01 7.855687692343544803e-01 3.886976215619734054e-01
5.032667416133699279e-01 8.616100177272274507e-01 6.596032245182337217e-02
2.216808912478011873e-01 5.412843171820832522e-01 -8.110911603687382954e-01
2.142381679728078414e-01 5.390528968204167937e-01 -8.145698139589828690e-01
4.989137337702927999e-01 8.664750705052818303e-01 1.749395462016253150e-02
5.207591792436200295e-01 8.536921561087827959e-01 4.424910377495535480e-03
5.416757449109945721e-01 8.405686765877858901e-01 5.629148654772996724e-03
