TITLE = "Normal Surface Vectors"
VARIABLES = "XV", "YV", "ZV" 
ZONE T="Step 0 Incr 0" 
F = VECTORS
9.963424582377440331e-01 -6.183343017122300278e-02 -5.897739249941257034e-02
9.687644595125647351e-01 2.802765402733626773e-02 2.463937348940764827e-01
9.965218336421404199e-01 -6.189858108012452620e-02 -5.579247919543680462e-02
9.998005614416397568e-01 -6.607967331582968729e-03 -1.884601041936352986e-02
9.896334502644861253e-01 -1.045018655049440026e-01 -9.851392908414248473e-02
9.964824216078366215e-01 -6.429996289265217657e-02 -5.374288974911387018e-02
9.996461673725113295e-01 -9.602325903160437159e-03 -2.480595482335934757e-02
9.749660366836523373e-01 -8.926830376980120912e-03 2.221745687804789759e-01
9.992520158448772172e-01 2.880864169462994673e-02 2.579672447539758939e-02
9.974184650869376556e-01 5.988420697146634025e-02 3.962685022829755266e-02
9.998996996490164824e-01 5.116032627105446089e-03 1.320669723908956227e-02
9.807970938772844205e-01 1.822731345937815550e-01 6.937986053049161050e-02
9.795502487932378211e-01 1.091671980079621379e-01 -1.690083813548793890e-01
9.874149531313178851e-01 -1.581197580120086710e-01 -3.138862676401611446e-03
9.922333303216281930e-01 -1.202055075492167169e-01 -3.199459569498683958e-02
9.712543306703550483e-01 1.912503555358776586e-01 1.417332941177939509e-01
9.714515221367751030e-01 1.919234436042496772e-01 1.394536909989444184e-01
9.998498765930958765e-01 -1.228839990157602757e-02 -1.221554356669596157e-02
9.999950158438737358e-01 2.386388700765853469e-03 2.067229155093833030e-03
9.999731258260576849e-01 -5.333390950882873661e-03 -5.030165666105825516e-03
9.996237137986402344e-01 2.026002846720120071e-02 1.849221614415570702e-02
9.992094965001441231e-01 -3.782853346732756306e-02 -1.222228127804720656e-02
9.945123103077108118e-01 1.005850724491210713e-01 -2.877338782320491839e-02
9.979558889086178608e-01 -5.842008745091814559e-02 -2.590631534659875584e-02
9.978562131567423332e-01 -5.817229875729312133e-02 -2.998268703399149110e-02
9.979975222374514177e-01 -5.719754985496795785e-02 -2.700714532296893261e-02
9.999911430571638560e-01 3.446717000229932142e-03 2.415356939873654178e-03
9.996261611555220528e-01 2.040248780525173722e-02 1.820100065465521388e-02
9.997960845293837329e-01 1.513564246577434394e-02 1.336793502608741614e-02
9.944662143918667763e-01 -8.373239840545823598e-02 -6.344945933874684973e-02
9.949020152559637786e-01 -8.504082037609834999e-02 -5.420367985093160756e-02
9.967975835781313076e-01 -6.051805265002161566e-02 -5.226990220238994511e-02
9.969921287299019497e-01 -6.028217138531025143e-02 -4.871093371811657802e-02
9.968127677474714066e-01 -5.840356496454270074e-02 -5.434454577101694578e-02
9.967666770005233490e-01 -6.303971188106610724e-02 -4.982154501103386313e-02
9.966427243335458375e-01 -6.740945695621815281e-02 -4.646767850748974998e-02
9.926495284381054995e-01 -8.834444124279680621e-02 -8.271743101127475295e-02
9.956510358668582139e-01 -6.788706521255850890e-02 -6.379938208225917340e-02
9.939112661205027344e-01 -8.092479202037768105e-02 -7.477682204532234977e-02
9.999341459199170279e-01 -8.534342607282752180e-03 -7.672601883815794235e-03
9.994182400478828221e-01 -1.253218702353768935e-02 -3.171948530477036038e-02
9.999753924303329544e-01 -4.491925850816655755e-03 -5.388611690617181246e-03
9.938314917898252165e-01 1.093955805024974526e-01 -1.820914312459452969e-02
9.929711627229066417e-01 1.166190475895197837e-01 -2.020563634316084253e-02
9.999986414324394390e-01 1.144528525979657957e-03 1.186249437802837500e-03
9.994172298608205995e-01 -2.403554214911291648e-02 -2.423826253925264254e-02
9.976194137915829208e-01 -4.848570157003959102e-02 -4.903714887102907094e-02
9.998111092254160504e-01 1.451405361840745097e-02 -1.292625688299009132e-02
9.997273938407438276e-01 1.933341653200406490e-02 -1.309034031622064234e-02
9.986650079716403727e-01 4.406377097899169537e-02 -2.695525811626600654e-02
9.804344438642089710e-01 1.874797437989016158e-01 5.999705784267482522e-02
9.704683154314304172e-01 1.496722902638931152e-01 1.891810092764136808e-01
9.688835686193932872e-01 2.125905058923900082e-01 1.267671379489458128e-01
9.875086179516097129e-01 1.487779770210646557e-01 5.188297432512112978e-02
9.923161616681980268e-01 1.228459006955004706e-01 -1.474855838398707146e-02
8.900536350206402769e-01 3.980044912103801180e-01 -2.222542502696208677e-01
9.497700729919241747e-01 3.089373984321011624e-01 -4.994489262096947491e-02
9.619171380749143019e-01 1.352920704236394156e-01 -2.375110000784204645e-01
9.839827321990463060e-01 -1.782063198802270043e-01 -4.526620024490917403e-03
9.682996381907438277e-01 2.481580157963013678e-01 2.852034143760006843e-02
9.614837311675290543e-01 1.640293607556128352e-01 2.205524960418075719e-01
9.660120993633161124e-01 1.884681774244791330e-01 1.769191057573314407e-01
9.967681013738661777e-01 -5.958296964486944902e-02 -5.388155353956063098e-02
9.866156268823543796e-01 -1.552488700493301343e-01 -4.987377206453420808e-02
9.681417366020099724e-01 1.614942977950982739e-01 -1.913665844104255054e-01
9.736491408814135218e-01 1.647417012841166095e-01 -1.576943953312865965e-01
9.937391600099541034e-01 1.135394351371074410e-02 -1.111466141157636256e-01
9.778616258164513075e-01 -5.205575122461464192e-03 2.091878169092333262e-01
9.953549841145969967e-01 -8.274941739309248090e-02 -4.920355189754255926e-02
9.642138344258693872e-01 2.647744152799704209e-01 1.364516452491058504e-02
9.525343946581108501e-01 6.680827793567484241e-02 -2.970099004958857702e-01
9.708933480922171677e-01 1.976670742694395244e-01 1.352547018777711940e-01
9.731024498747009588e-01 1.822841410680582919e-01 -1.408691377234038977e-01
9.992927913098306192e-01 -2.611687460600446709e-02 -2.705228450651601252e-02
9.703684097680898013e-01 2.075816909429909762e-01 -1.236729190623285374e-01
9.640792734499906702e-01 2.244704546241272913e-01 -1.420005968472516089e-01
9.752757086935035513e-01 2.176646337685179677e-01 3.820208422064660242e-02
9.995872343449174746e-01 2.166494985235485615e-02 1.886772065126185796e-02
9.997613644925890108e-01 1.608205290206577223e-02 1.478450683559463623e-02
9.887856883506263017e-01 -1.093032025323735085e-01 -1.017628243964618373e-01
9.999119656645338861e-01 -9.259891450845776639e-03 -9.503437862515475704e-03
9.638084001746021201e-01 2.518587759319126373e-01 -8.741009517757471203e-02
9.987570826067734275e-01 4.933217846818035990e-02 -7.115202765238081394e-03
9.995287644427059970e-01 2.954326216479565351e-02 -8.333349404637287530e-03
9.993436274316691570e-01 -2.505189965951649944e-02 -2.616709068969757732e-02
9.947876302456276632e-01 4.829818255536519507e-03 -1.018540306807085571e-01
9.984338897435002247e-01 4.164330878006031883e-02 3.735776553157880986e-02
9.953781074501593107e-01 -8.309122863583949525e-02 -4.814842606696425470e-02
9.944253071447464176e-01 -1.030252205040998043e-01 -2.245244864504518378e-02
9.994660484555759616e-01 -2.275171683969953035e-02 -2.345159622376129932e-02
9.994328460826077398e-01 -2.355126203388630685e-02 -2.406915511250507303e-02
9.965344319284817898e-01 2.645771272859317319e-02 -7.886136835072776741e-02
9.946143139261393040e-01 -2.545592924129275875e-02 -1.004707031910172521e-01
9.644456298559542784e-01 2.048021797459460003e-01 1.670350089743493083e-01
9.777932764595077542e-01 1.727453241273279039e-01 1.186564852956844413e-01
9.999487482185729359e-01 -7.201967003459524425e-03 -7.115659308185018177e-03
9.993012284241687970e-01 -2.616551197223344200e-02 -2.669121303309609020e-02
9.996339521471550027e-01 -1.909897514419988535e-02 -1.916222489954228989e-02
9.692179361522993419e-01 4.355809363743686630e-02 2.423206238010904012e-01
9.732573822950597586e-01 -1.505478993563216517e-01 -1.735090712544065938e-01
9.838742199628368601e-01 -1.105171577346995976e-01 -1.406324185199230858e-01
9.888110471661771816e-01 -1.071183471460870479e-01 -1.038189419461520158e-01
9.996935793189045683e-01 1.860116432190250454e-02 1.633230401463423714e-02
9.861511607099158194e-01 -1.019073137596901990e-01 -1.308464276652974712e-01
9.916390348661460186e-01 -9.510977237037029908e-02 -8.721327725406720355e-02
9.808507190843380741e-01 1.862800612596744176e-01 5.684721320195922079e-02
9.760057460823765574e-01 1.923765203717202610e-01 1.020002844302533851e-01
9.963879433389317697e-01 -6.083943770697002040e-02 -5.924212342846538193e-02
9.991375504740279689e-01 3.122962898982745150e-02 2.736540710307120913e-02
9.987074205338826172e-01 3.846300863263678316e-02 3.322777659555671559e-02
9.992630990570924299e-01 2.861918475063899084e-02 2.557735574730623726e-02
9.985495403459140329e-01 4.163270316750850714e-02 3.413991069013042057e-02
9.994633892335964553e-01 2.445933735530568531e-02 2.178702361113134256e-02
9.986230971900543762e-01 3.979984513497803605e-02 3.417428983570832551e-02
9.996444408310681817e-01 1.968942443362547284e-02 1.798105895139382251e-02
9.994700265970399844e-01 2.435087004086806603e-02 2.160326508574929652e-02
9.995928659393533700e-01 2.110337271537666981e-02 1.920286497337904408e-02
9.994626174232494886e-01 2.441630202581275208e-02 2.187054111930944802e-02
9.993046275420864877e-01 2.883359801487129018e-02 2.364074868714161060e-02
9.985675201131414269e-01 4.048155294451919600e-02 3.498787856230937965e-02
9.989538745959892774e-01 3.451006427928008519e-02 3.000353134383258735e-02
9.986650955693719967e-01 4.050324303793427505e-02 3.205486226498275443e-02
9.987345785007478716e-01 3.815219121895539744e-02 3.276662955089645890e-02
9.992508227255454401e-01 2.868550818272610353e-02 2.597950928364960860e-02
9.994063092393320469e-01 2.557018911792755672e-02 2.309100433264256458e-02
9.994053084650944552e-01 2.558519898769267067e-02 2.311767731735762943e-02
9.995405421151618564e-01 2.237206216765272315e-02 2.044982891114488499e-02
9.991858685726430211e-01 3.004299343247048698e-02 2.692616924758408498e-02
9.997564941656134074e-01 1.628655940752149131e-02 1.488960564780250975e-02
9.997425513330544522e-01 1.676552693653573026e-02 1.528882469699111707e-02
9.996962757448176751e-01 1.829557978959667208e-02 1.651145124160822639e-02
9.994032732167166255e-01 2.563783871637940331e-02 2.314732618826062863e-02
9.985579487002193000e-01 4.167096949975537812e-02 3.384602470838501270e-02
9.999047727460027568e-01 1.062747147277130939e-02 8.803538485182541354e-03
9.976709837642357970e-01 5.490426037056417991e-02 4.047382299787550403e-02
9.989729622798959596e-01 3.426397554726454131e-02 2.964794450591884400e-02
9.995613302926324995e-01 -2.084036827634105915e-02 -2.104343208056408399e-02
9.990783467545919505e-01 -3.016173603002023779e-02 -3.054057507262535054e-02
9.990036499332126674e-01 -3.115117281848741107e-02 -3.195797008809648371e-02
9.993618283371963340e-01 -2.509925706885175398e-02 -2.541580919679774231e-02
9.988948943463163976e-01 -3.295839750725410022e-02 -3.350722433468858452e-02
9.991351090473570284e-01 -2.923997383874245640e-02 -2.956446851941475426e-02
9.997737160677672152e-01 -1.461279253556951180e-02 -1.545907352851156116e-02
9.994360119920004948e-01 -2.352270818932773386e-02 -2.396539448800516850e-02
9.991468151475469961e-01 -2.896620178855755998e-02 -2.943808646053800576e-02
9.992910711333501395e-01 -2.641706693778225062e-02 -2.682338024124268291e-02
9.992435819937637298e-01 -2.730665466602116842e-02 -2.768773113173353742e-02
9.991395793662408709e-01 -2.913835558150238564e-02 -2.951367780974020055e-02
9.993567334101520760e-01 -2.513840518592726572e-02 -2.557694220383531156e-02
9.993038399522294890e-01 -2.614610339309932432e-02 -2.661234176254079209e-02
9.990724595631507166e-01 -3.014720334970899529e-02 -3.074681565020838392e-02
9.997904716867827002e-01 1.457692247161585138e-02 1.437101442408231580e-02
9.991463936835929260e-01 -2.890052449972864423e-02 -2.951683710547667316e-02
9.998993249137233530e-01 -1.001253175363904860e-02 -1.005431474356278249e-02
9.995290468947671814e-01 -2.134323293520004605e-02 -2.204882812106109813e-02
9.999752227652445313e-01 5.594393001895708005e-03 4.272776912036839979e-03
9.995939062974786848e-01 -2.004264606538244328e-02 -2.025622945281766590e-02
9.996145041625652539e-01 -1.953744424946478320e-02 -1.972641224419576650e-02
9.994353256227600513e-01 -2.359712981152695122e-02 -2.392081440890964084e-02
9.999988427445674066e-01 -8.866223388733898486e-04 -1.236288944430563152e-03
9.999671635598610386e-01 -5.682398255424325750e-03 -5.777728975378982647e-03
9.999230075859462108e-01 -8.766487261562242242e-03 -8.782232140436677104e-03
9.992816458585017658e-01 -2.657311928255877767e-02 -2.701965177271525506e-02
9.998691443927599787e-01 -1.137911995258678033e-02 -1.149824857944304474e-02
9.990806879706202182e-01 -3.034427001477235653e-02 -3.028207723097215212e-02
9.990025592009539324e-01 -3.141504022056339912e-02 -3.173297902632216116e-02
9.990888089985120457e-01 -3.005433830971590212e-02 -3.030327511507570348e-02
9.993029944806409715e-01 -2.617416626729471979e-02 -2.661650319324516262e-02
9.991935248397810776e-01 -2.819787876104992708e-02 -2.858635254157028405e-02
9.999978388481854941e-01 1.510908581184453470e-03 1.428094610910796104e-03
9.992370015769916902e-01 2.905723485042405879e-02 2.609773519427204674e-02
9.997778271743693601e-01 1.566594471246876910e-02 1.410228587012340475e-02
9.992518122510527512e-01 2.903784838312067559e-02 2.554641020311243862e-02
9.987339528917048570e-01 1.733206263046811746e-02 4.722383874997441999e-02
9.994269763316008248e-01 1.151868622370138401e-02 3.182827121214394650e-02
9.992277409436083335e-01 1.347622247492348373e-02 3.690952663662090683e-02
9.990114257176196944e-01 1.494354174554053498e-02 4.186719295281327025e-02
